entry1	entry2	type
00120_71	00120_164	ECrel
00120_61	00120_164	ECrel
00120_84	00120_162	ECrel
00120_162	00120_80	ECrel
00120_162	00120_52	ECrel
00130_103	00130_114	ECrel
00130_114	00130_57	maplink
00130_144	00130_145	ECrel
00130_145	00130_146	ECrel
00130_147	00130_143	maplink
00130_152	00130_65	maplink
00130_146	00130_147	ECrel
00130_182	00130_188	ECrel
00130_181	00130_188	ECrel
00130_182	00130_181	ECrel
00130_185	00130_190	ECrel
00130_185	00130_180	ECrel
00130_180	00130_190	ECrel
00140_65	00140_187	maplink
00140_65	00140_188	maplink
00140_65	00140_191	maplink
00140_65	00140_189	maplink
00140_187	00140_191	ECrel
00140_187	00140_189	ECrel
00140_188	00140_191	ECrel
00140_188	00140_189	ECrel
00140_191	00140_196	ECrel
00140_192	00140_196	ECrel
00140_196	00140_193	ECrel
00140_197	00140_200	ECrel
00140_197	00140_204	ECrel
00140_197	00140_203	ECrel
00140_197	00140_201	ECrel
00140_197	00140_202	ECrel
00140_197	00140_224	ECrel
00140_197	00140_194	ECrel
00140_200	00140_204	ECrel
00140_200	00140_203	ECrel
00140_200	00140_201	ECrel
00140_200	00140_202	ECrel
00140_200	00140_224	ECrel
00140_200	00140_194	ECrel
00140_204	00140_201	ECrel
00140_204	00140_202	ECrel
00140_204	00140_224	ECrel
00140_204	00140_194	ECrel
00140_203	00140_201	ECrel
00140_203	00140_202	ECrel
00140_203	00140_224	ECrel
00140_203	00140_194	ECrel
00140_201	00140_224	ECrel
00140_201	00140_194	ECrel
00140_202	00140_224	ECrel
00140_202	00140_194	ECrel
00140_224	00140_194	ECrel
00140_199	00140_197	ECrel
00140_198	00140_197	ECrel
00140_225	00140_226	ECrel
00140_227	00140_228	ECrel
00140_228	00140_229	ECrel
00140_230	00140_227	ECrel
00140_230	00140_240	ECrel
00140_230	00140_235	ECrel
00140_230	00140_234	ECrel
00140_227	00140_240	ECrel
00140_227	00140_235	ECrel
00140_227	00140_234	ECrel
00140_240	00140_235	ECrel
00140_240	00140_234	ECrel
00140_312	00140_237	ECrel
00140_237	00140_236	ECrel
00140_204	00140_231	ECrel
00140_204	00140_239	ECrel
00140_204	00140_250	ECrel
00140_204	00140_241	ECrel
00140_204	00140_243	ECrel
00140_203	00140_231	ECrel
00140_203	00140_239	ECrel
00140_203	00140_250	ECrel
00140_203	00140_241	ECrel
00140_203	00140_243	ECrel
00140_231	00140_239	ECrel
00140_231	00140_250	ECrel
00140_231	00140_241	ECrel
00140_231	00140_243	ECrel
00140_239	00140_250	ECrel
00140_239	00140_241	ECrel
00140_239	00140_243	ECrel
00140_250	00140_241	ECrel
00140_250	00140_243	ECrel
00140_241	00140_243	ECrel
00140_239	00140_265	ECrel
00140_239	00140_240	ECrel
00140_265	00140_240	ECrel
00140_241	00140_244	ECrel
00140_243	00140_246	ECrel
00140_193	00140_224	ECrel
00140_193	00140_206	ECrel
00140_193	00140_205	ECrel
00140_193	00140_221	ECrel
00140_224	00140_206	ECrel
00140_224	00140_205	ECrel
00140_224	00140_221	ECrel
00140_206	00140_221	ECrel
00140_205	00140_221	ECrel
00140_206	00140_250	ECrel
00140_206	00140_251	ECrel
00140_206	00140_253	ECrel
00140_205	00140_250	ECrel
00140_205	00140_251	ECrel
00140_205	00140_253	ECrel
00140_250	00140_251	ECrel
00140_250	00140_253	ECrel
00140_251	00140_253	ECrel
00140_251	00140_265	ECrel
00140_251	00140_252	ECrel
00140_265	00140_252	ECrel
00140_221	00140_211	ECrel
00140_221	00140_208	ECrel
00140_221	00140_207	ECrel
00140_211	00140_208	ECrel
00140_211	00140_207	ECrel
00140_253	00140_258	ECrel
00140_253	00140_208	ECrel
00140_253	00140_207	ECrel
00140_258	00140_208	ECrel
00140_258	00140_207	ECrel
00140_258	00140_252	ECrel
00140_258	00140_255	ECrel
00140_258	00140_263	ECrel
00140_258	00140_264	ECrel
00140_258	00140_210	ECrel
00140_258	00140_209	ECrel
00140_252	00140_255	ECrel
00140_252	00140_263	ECrel
00140_252	00140_264	ECrel
00140_252	00140_210	ECrel
00140_252	00140_209	ECrel
